Month,A,A.1,AD.2,AY.100,AY.103,AY.119,AY.120,AY.122,AY.126,AY.14,AY.20,AY.25,AY.25.1,AY.26,AY.3,AY.39,AY.4,AY.4.2,AY.4.2.1,AY.4.2.2,AY.43,AY.44,AY.47,AY.5,AY.6,AY.7.1,AY.75,AY.9,AY.98,B,B.1,B.1.1,B.1.1.1,B.1.1.10,B.1.1.142,B.1.1.25,B.1.1.291,B.1.1.301,B.1.1.307,B.1.1.311,B.1.1.369,B.1.1.37,B.1.1.372,B.1.1.4,B.1.1.44,B.1.1.51,B.1.1.519,B.1.1.7,B.1.160,B.1.177,B.1.177.4,B.1.177.45,B.1.177.56,B.1.177.57,B.1.177.65,B.1.177.7,B.1.2,B.1.222,B.1.240,B.1.243,B.1.258,B.1.289,B.1.305,B.1.36.17,B.1.367,B.1.369,B.1.389,B.1.391,B.1.426,B.1.427,B.1.429,B.1.503,B.1.509,B.1.526,B.1.595,B.1.617.2,B.1.637,B.1.93,B.3,B.33,B.4,B.40,B.43,B.5,BA.1,BA.1.1,BA.1.1.1,BA.1.1.14,BA.1.1.15,BA.1.1.18,BA.1.15,BA.1.15.1,BA.1.16,BA.1.17,BA.1.17.2,BA.1.18,BA.1.20,BA.2,BA.2.1,BA.2.10,BA.2.12.1,BA.2.18,BA.2.23,BA.2.3,BA.2.9,BA.4,BA.4.1,BA.4.6,BA.5.1,BA.5.1.1,BA.5.1.10,BA.5.1.22,BA.5.1.30,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.21,BA.5.2.35,BA.5.2.9,BA.5.5,BA.5.6,BE.1,BE.1.1,BE.3,BF.1,BF.10,BF.11,BF.26,BF.5,BF.7,BQ.1,BQ.1.1,BQ.1.1.3,BQ.1.1.4,BQ.1.1.5,BQ.1.12,BQ.1.14,BQ.1.2,BQ.1.3,BQ.1.8,BQ.1_17039,CH.1.1,CH.1.1.1,D.2,DU.1,P.1,Q.3,XBB.1,XBB.1.5,XBB.1.5.15,XBB.1.5.18,XBB.1.5.20,XBB.1.5.7,XBB.1.9.1
2020_01,0.3423913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728260869565218,0.029891304347826088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019021739130434784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11141304347826086,0.024456521739130436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_02,0.11093247588424437,0.0932475884244373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41479099678456594,0.1720257234726688,0.04983922829581994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01929260450160772,0.014469453376205787,0.03054662379421222,0.028938906752411574,0.03376205787781351,0.028938906752411574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_03,0.031169665809768637,0.06133961725221365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13935304198800347,0.45508426163953164,0.1779134532990574,0.0,0.0,0.015102827763496144,0.0,0.0,0.0,0.0,0.0,0.011068266209654384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268494715795487,0.030027135104255927,0.0,0.05205655526992288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_04,0.0,0.015453840186190846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231031807602791,0.33138867339022493,0.011730023273855703,0.01008533747090768,0.0,0.0,0.0,0.0,0.0,0.0,0.022529092319627617,0.0,0.01148176881303336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010209464701318852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013126454615981381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017284716834755624,0.0,0.010799069045771915,0.0,0.022808378588052753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_05,0.0,0.011319783895034732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502315410342166,0.3451247748906611,0.013442243375353742,0.0,0.0,0.0,0.018330331875482376,0.0,0.0,0.0,0.03781836892204785,0.0,0.01389246205299717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010483663493696938,0.0,0.0,0.0,0.0,0.0,0.0,0.017558528428093644,0.0,0.0,0.0,0.0,0.0,0.011770002572678158,0.0,0.0,0.017558528428093644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32871593325172344,0.4080278332581664,0.01739578635397204,0.0,0.0,0.010630758327427357,0.03936602023065524,0.022227949230075383,0.0,0.0,0.021132658978158622,0.026222537207654145,0.0,0.012177050447780427,0.0,0.01082404484247149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021712518523291025,0.0,0.0,0.0,0.0,0.0,0.017331357515623994,0.0,0.0,0.011403904387603891,0.0,0.0,0.011597190902648026,0.0,0.0,0.0,0.0,0.0,0.015978351910315058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249983892790413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28246303142329027,0.22077171903881704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672365988909427,0.0,0.02206561922365989,0.01432532347504621,0.0,0.0,0.0,0.0,0.0,0.01738678373382625,0.0,0.0,0.0,0.0,0.0,0.010975046210720887,0.011610443622920517,0.0,0.013458872458410352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33964879852125696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_08,0.0,0.0,0.0344486137169064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32296226808421924,0.15931832395247028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018865957890348135,0.0,0.0,0.010006253908692933,0.01172607879924953,0.0,0.0,0.03997289972899729,0.059724828017510945,0.0,0.0,0.0,0.0,0.0,0.0,0.040910986032937253,0.0,0.011778194705023974,0.013602251407129456,0.014331874087971649,0.0,0.0,0.0,0.021054825932874714,0.012872628726287264,0.0,0.0,0.012716281008963937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132061705232437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_09,0.0,0.0,0.043813247470101194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15267555964428095,0.14941735663906774,0.0,0.0,0.0,0.0,0.0,0.0,0.024609015639374426,0.027752223244403556,0.0,0.04576816927322907,0.0,0.0,0.0,0.0,0.0,0.0,0.053012879484820606,0.25628641521005824,0.011192885617908616,0.01782428702851886,0.010847899417356638,0.014566084023305734,0.0,0.023880711438209138,0.055581110088929776,0.0,0.011806194418889911,0.011192885617908616,0.016597669426556272,0.0,0.0,0.02089083103342533,0.0,0.014182766022692425,0.01130788101809261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02491567003986507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_10,0.0,0.0,0.02754144738210638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12811765440059908,0.10157468849458115,0.0,0.0,0.0,0.0,0.0,0.0,0.018721527676658415,0.01986562103467643,0.0,0.031784993655482284,0.0,0.0,0.0,0.0,0.0,0.0,0.04728225823227175,0.3978740665238284,0.031223347825182535,0.03519647203211782,0.010172030037651072,0.021945790776527363,0.0,0.025523682732510974,0.06567095875023402,0.0,0.0,0.010442452104091693,0.012397811661431573,0.0,0.0,0.01252262184594263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020_11,0.0,0.0,0.016162965436633828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15613624979128402,0.09600935047587243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010151945232927033,0.0,0.01422608114877275,0.0,0.0,0.0,0.0,0.0,0.03887126398397061,0.04356319919853064,0.3996326598764401,0.0266154616797462,0.0,0.0,0.019201870095174486,0.0,0.022474536650525963,0.1299549173484722,0.0,0.0,0.01527800968442144,0.010085156119552513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
